vehicle_type_id,model_year,make,model,ev_type
vm0005,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0006,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0011,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV)
vm0018,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0029,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0048,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0068,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0095,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0096,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0126,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0127,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0128,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0161,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0162,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0163,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0198,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0199,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0200,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0237,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0238,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0239,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0240,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0282,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0283,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0284,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0285,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0344,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0345,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0346,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0347,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0420,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0421,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0422,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0423,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0514,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV)
vm0515,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0516,2024,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0517,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0518,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
